# -*- tcl -*- bench/csv
1
114,Distance* 6 50 6 -50 174,1.168
115,Distance 0 51 6 51 7,1.035
116,Distance 1 51 6 50 6,1.01
117,Distance 2 0 0 0 1,1.514
118,Distance 3 0 0 1 0,1.234
119,Distance 4 50.777 6 50.778 6,1.445
120,Distance 5 50.777 6 50.778 6.001,1.078
121,Distance 6 50 6 -50 174,1.004
122,DistanceList 0 51 6 51 7,0.97
123,DistanceList 1 51 6 50 6,0.969
124,DistanceList 2 0 0 0 1,1.182
125,DistanceList 3 0 0 1 0,1.178
126,DistanceList 4 50.777 6 50.778 6,1.089
127,DistanceList 5 50.777 6 50.778 6.001,1.242
128,DistanceList 6 50 6 -50 174,0.957
129,Geo2Point* 1x 0 -10 -10,1.348
130,Geo2Point* 1x 0 -10 0,1.317
131,Geo2Point* 1x 0 -10 10,1.311
132,Geo2Point* 1x 0 0 -10,1.301
133,Geo2Point* 1x 0 0 0,1.298
134,Geo2Point* 1x 0 0 10,1.326
135,Geo2Point* 1x 0 10 -10,1.338
136,Geo2Point* 1x 0 10 0,1.537
137,Geo2Point* 1x 0 10 10,1.361
138,Geo2Point* 1x 1 -10 -10,1.549
139,Geo2Point* 1x 1 -10 0,1.341
140,Geo2Point* 1x 1 -10 10,1.306
141,Geo2Point* 1x 1 0 -10,1.321
142,Geo2Point* 1x 1 0 0,1.538
143,Geo2Point* 1x 1 0 10,1.31
144,Geo2Point* 1x 1 10 -10,1.542
145,Geo2Point* 1x 1 10 0,1.313
146,Geo2Point* 1x 1 10 10,1.329
147,Geo2Point* 1x 2 -10 -10,1.525
148,Geo2Point* 1x 2 -10 0,1.559
149,Geo2Point* 1x 2 -10 10,1.491
150,Geo2Point* 1x 2 0 -10,1.554
151,Geo2Point* 1x 2 0 0,1.491
152,Geo2Point* 1x 2 0 10,1.306
153,Geo2Point* 1x 2 10 -10,1.56
154,Geo2Point* 1x 2 10 0,1.509
155,Geo2Point* 1x 2 10 10,1.561
156,Geo2Point* 1x 3 -10 -10,1.308
157,Geo2Point* 1x 3 -10 0,1.298
158,Geo2Point* 1x 3 -10 10,1.306
159,Geo2Point* 1x 3 0 -10,1.304
160,Geo2Point* 1x 3 0 0,1.548
161,Geo2Point* 1x 3 0 10,1.441
162,Geo2Point* 1x 3 10 -10,1.539
163,Geo2Point* 1x 3 10 0,1.353
164,Geo2Point* 1x 3 10 10,1.319
165,Geo2Point* 1x 4 -10 -10,1.314
166,Geo2Point* 1x 4 -10 0,1.3
167,Geo2Point* 1x 4 -10 10,1.555
168,Geo2Point* 1x 4 0 -10,1.511
169,Geo2Point* 1x 4 0 0,1.364
170,Geo2Point* 1x 4 0 10,1.466
171,Geo2Point* 1x 4 10 -10,1.352
172,Geo2Point* 1x 4 10 0,1.506
173,Geo2Point* 1x 4 10 10,1.305
174,Geo2Point* 1x 5 -10 -10,1.31
175,Geo2Point* 1x 5 -10 0,1.338
176,Geo2Point* 1x 5 -10 10,1.372
177,Geo2Point* 1x 5 0 -10,1.389
178,Geo2Point* 1x 5 0 0,1.513
179,Geo2Point* 1x 5 0 10,1.546
180,Geo2Point* 1x 5 10 -10,1.313
181,Geo2Point* 1x 5 10 0,1.567
182,Geo2Point* 1x 5 10 10,1.441
183,Geo2Point* 1x 6 -10 -10,1.533
184,Geo2Point* 1x 6 -10 0,1.56
185,Geo2Point* 1x 6 -10 10,1.312
186,Geo2Point* 1x 6 0 -10,1.325
187,Geo2Point* 1x 6 0 0,1.737
188,Geo2Point* 1x 6 0 10,1.501
189,Geo2Point* 1x 6 10 -10,1.306
190,Geo2Point* 1x 6 10 0,1.812
191,Geo2Point* 1x 6 10 10,1.551
192,Geo2Point* 1x 7 -10 -10,1.325
193,Geo2Point* 1x 7 -10 0,1.308
194,Geo2Point* 1x 7 -10 10,1.313
195,Geo2Point* 1x 7 0 -10,1.31
196,Geo2Point* 1x 7 0 0,1.624
197,Geo2Point* 1x 7 0 10,1.512
198,Geo2Point* 1x 7 10 -10,1.336
199,Geo2Point* 1x 7 10 0,1.335
200,Geo2Point* 1x 7 10 10,1.321
201,Geo2Point* 1x 8 -10 -10,1.32
202,Geo2Point* 1x 8 -10 0,1.365
203,Geo2Point* 1x 8 -10 10,1.515
204,Geo2Point* 1x 8 0 -10,1.29
205,Geo2Point* 1x 8 0 0,1.775
206,Geo2Point* 1x 8 0 10,1.503
207,Geo2Point* 1x 8 10 -10,1.406
208,Geo2Point* 1x 8 10 0,1.567
209,Geo2Point* 1x 8 10 10,1.348
210,Geo2Point* 1x 9 -10 -10,1.499
211,Geo2Point* 1x 9 -10 0,1.325
212,Geo2Point* 1x 9 -10 10,1.345
213,Geo2Point* 1x 9 0 -10,2.244
214,Geo2Point* 1x 9 0 0,1.502
215,Geo2Point* 1x 9 0 10,1.607
216,Geo2Point* 1x 9 10 -10,1.544
217,Geo2Point* 1x 9 10 0,1.519
218,Geo2Point* 1x 9 10 10,1.532
219,Geo2Point* 1x 10 -10 -10,1.324
220,Geo2Point* 1x 10 -10 0,1.345
221,Geo2Point* 1x 10 -10 10,1.314
222,Geo2Point* 1x 10 0 -10,1.329
223,Geo2Point* 1x 10 0 0,1.988
224,Geo2Point* 1x 10 0 10,1.303
225,Geo2Point* 1x 10 10 -10,1.719
226,Geo2Point* 1x 10 10 0,1.338
227,Geo2Point* 1x 10 10 10,1.287
228,Geo2Point* 1x 11 -10 -10,1.569
229,Geo2Point* 1x 11 -10 0,1.852
230,Geo2Point* 1x 11 -10 10,1.432
231,Geo2Point* 1x 11 0 -10,1.518
232,Geo2Point* 1x 11 0 0,1.548
233,Geo2Point* 1x 11 0 10,1.308
234,Geo2Point* 1x 11 10 -10,1.32
235,Geo2Point* 1x 11 10 0,1.335
236,Geo2Point* 1x 11 10 10,1.307
237,Geo2Point* 1x 12 -10 -10,1.716
238,Geo2Point* 1x 12 -10 0,1.574
239,Geo2Point* 1x 12 -10 10,1.33
240,Geo2Point* 1x 12 0 -10,1.518
241,Geo2Point* 1x 12 0 0,1.78
242,Geo2Point* 1x 12 0 10,1.305
243,Geo2Point* 1x 12 10 -10,1.566
244,Geo2Point* 1x 12 10 0,1.44
245,Geo2Point* 1x 12 10 10,1.534
246,Geo2Point* 1x 13 -10 -10,1.322
247,Geo2Point* 1x 13 -10 0,1.535
248,Geo2Point* 1x 13 -10 10,1.537
249,Geo2Point* 1x 13 0 -10,1.318
250,Geo2Point* 1x 13 0 0,1.495
251,Geo2Point* 1x 13 0 10,1.415
252,Geo2Point* 1x 13 10 -10,1.527
253,Geo2Point* 1x 13 10 0,1.327
254,Geo2Point* 1x 13 10 10,1.316
255,Geo2Point* 1x 14 -10 -10,1.693
256,Geo2Point* 1x 14 -10 0,1.567
257,Geo2Point* 1x 14 -10 10,1.323
258,Geo2Point* 1x 14 0 -10,1.464
259,Geo2Point* 1x 14 0 0,1.3
260,Geo2Point* 1x 14 0 10,1.661
261,Geo2Point* 1x 14 10 -10,1.382
262,Geo2Point* 1x 14 10 0,1.309
263,Geo2Point* 1x 14 10 10,1.534
264,Geo2Point* 1x 15 -10 -10,1.316
265,Geo2Point* 1x 15 -10 0,1.623
266,Geo2Point* 1x 15 -10 10,1.321
267,Geo2Point* 1x 15 0 -10,1.659
268,Geo2Point* 1x 15 0 0,1.492
269,Geo2Point* 1x 15 0 10,1.313
270,Geo2Point* 1x 15 10 -10,1.54
271,Geo2Point* 1x 15 10 0,1.34
272,Geo2Point* 1x 15 10 10,1.536
273,Geo2Point* 1x 16 -10 -10,1.704
274,Geo2Point* 1x 16 -10 0,1.309
275,Geo2Point* 1x 16 -10 10,1.34
276,Geo2Point* 1x 16 0 -10,1.331
277,Geo2Point* 1x 16 0 0,1.632
278,Geo2Point* 1x 16 0 10,1.328
279,Geo2Point* 1x 16 10 -10,1.333
280,Geo2Point* 1x 16 10 0,1.666
281,Geo2Point* 1x 16 10 10,1.321
282,Geo2Point* 1x 17 -10 -10,1.4
283,Geo2Point* 1x 17 -10 0,1.469
284,Geo2Point* 1x 17 -10 10,1.334
285,Geo2Point* 1x 17 0 -10,1.51
286,Geo2Point* 1x 17 0 0,1.318
287,Geo2Point* 1x 17 0 10,1.61
288,Geo2Point* 1x 17 10 -10,1.592
289,Geo2Point* 1x 17 10 0,1.309
290,Geo2Point* 1x 17 10 10,1.532
291,Geo2Point* 1x 18 -10 -10,1.467
292,Geo2Point* 1x 18 -10 0,1.497
293,Geo2Point* 1x 18 -10 10,1.503
294,Geo2Point* 1x 18 0 -10,1.542
295,Geo2Point* 1x 18 0 0,1.311
296,Geo2Point* 1x 18 0 10,1.519
297,Geo2Point* 1x 18 10 -10,1.585
298,Geo2Point* 1x 18 10 0,1.615
299,Geo2Point* 1x 18 10 10,1.373
