# -*- tcl -*- bench/csv
1
114,Distance* 6 50 6 -50 174,6.707
115,Distance 0 51 6 51 7,4.972
116,Distance 1 51 6 50 6,5.129
117,Distance 2 0 0 0 1,5.525
118,Distance 3 0 0 1 0,4.945
119,Distance 4 50.777 6 50.778 6,7.255
120,Distance 5 50.777 6 50.778 6.001,5.548
121,Distance 6 50 6 -50 174,5.862
122,DistanceList 0 51 6 51 7,5.833
123,DistanceList 1 51 6 50 6,6.738
124,DistanceList 2 0 0 0 1,5.567
125,DistanceList 3 0 0 1 0,6.336
126,DistanceList 4 50.777 6 50.778 6,6.362
127,DistanceList 5 50.777 6 50.778 6.001,6.071
128,DistanceList 6 50 6 -50 174,5.931
129,Geo2Point* 1x 0 -10 -10,6.009
130,Geo2Point* 1x 0 -10 0,6.285
131,Geo2Point* 1x 0 -10 10,6.389
132,Geo2Point* 1x 0 0 -10,6.806
133,Geo2Point* 1x 0 0 0,7.268
134,Geo2Point* 1x 0 0 10,7.492
135,Geo2Point* 1x 0 10 -10,6.442
136,Geo2Point* 1x 0 10 0,5.444
137,Geo2Point* 1x 0 10 10,6.174
138,Geo2Point* 1x 1 -10 -10,5.575
139,Geo2Point* 1x 1 -10 0,5.805
140,Geo2Point* 1x 1 -10 10,5.606
141,Geo2Point* 1x 1 0 -10,5.764
142,Geo2Point* 1x 1 0 0,5.489
143,Geo2Point* 1x 1 0 10,5.721
144,Geo2Point* 1x 1 10 -10,7.089
145,Geo2Point* 1x 1 10 0,5.48
146,Geo2Point* 1x 1 10 10,6.114
147,Geo2Point* 1x 2 -10 -10,6.251
148,Geo2Point* 1x 2 -10 0,6.28
149,Geo2Point* 1x 2 -10 10,6.135
150,Geo2Point* 1x 2 0 -10,6.043
151,Geo2Point* 1x 2 0 0,5.424
152,Geo2Point* 1x 2 0 10,6.463
153,Geo2Point* 1x 2 10 -10,5.454
154,Geo2Point* 1x 2 10 0,6.218
155,Geo2Point* 1x 2 10 10,5.611
156,Geo2Point* 1x 3 -10 -10,6.361
157,Geo2Point* 1x 3 -10 0,5.907
158,Geo2Point* 1x 3 -10 10,6.721
159,Geo2Point* 1x 3 0 -10,7.083
160,Geo2Point* 1x 3 0 0,6.138
161,Geo2Point* 1x 3 0 10,5.92
162,Geo2Point* 1x 3 10 -10,6.071
163,Geo2Point* 1x 3 10 0,6.681
164,Geo2Point* 1x 3 10 10,7.238
165,Geo2Point* 1x 4 -10 -10,7.216
166,Geo2Point* 1x 4 -10 0,5.471
