Algorithm,Code,Type,_,Qu,_,_,Width,_,Qu,_,_
,,Min,Max,50%,90%,99%,Min,Max,50%,90%,99%
i.ternary,,0.58,2.13,0.66,0.69,0.71,0.5,1.72,0.52,0.56,0.6
