Algorithm,Code,Type,_,Qu,_,_,Width,_,Qu,_,_
,,Min,Max,50%,90%,99%,Min,Max,50%,90%,99%
i.linear,,0.38,39.21,23.8,24.14,24.59,0.41,22.25,13.56,13.72,13.97
