Algorithm,Code,Type,_,Qu,_,_,Width,_,Qu,_,_
,,Min,Max,50%,90%,99%,Min,Max,50%,90%,99%
i.2map,,0.63,2.37,0.66,0.67,0.78,0.64,2.35,0.66,0.67,0.78
