Algorithm,Code,Type,_,Qu,_,_,Width,_,Qu,_,_
,,Min,Max,50%,90%,99%,Min,Max,50%,90%,99%
i.map,,0.34,1.05,0.35,0.36,0.38,0.35,1.09,0.35,0.36,0.39
