Algorithm,Code,Type,_,Qu,_,_,Width,_,Qu,_,_
,,Min,Max,50%,90%,99%,Min,Max,50%,90%,99%
i.binary,,0.52,2.15,0.59,0.61,0.64,0.49,1.89,0.51,0.54,0.57
